Reporting Year,Bank,RFP Source,Data Description,Office Address,ZIP Code,Census Tract,Location
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,2501 N Clark St,60614-1711,,POINT (-87.64186 41.9279)
2022,"Albany Bank and Trust Company, N.A.",Form G,Depository Location,4100 W Lawrence Ave,,17.031.1404.00,POINT (-87.73078 41.96821)
2022,Bank of America,Form G,Depository Location,2332 W Cermak Rd,,17031841200,POINT (-87.68436 41.85203)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,99 WEST WASHINGTON STREET,,17031839100,POINT (-87.63086 41.88325)
2022,PNC Bank,Form G,Depository Location,"10701 S WESTERN AVE CHICAGO, IL 60643",,17031750200,POINT (-87.68138 41.69883)
2022,U.S. Bank,Form G,Depository Location,9795 W Lincoln Hwy,,8835.16,POINT (-87.85327 41.50605)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,549 N McClurg Ct,60611,,POINT (-87.61769 41.89214)
2021,BMO Harris Bank National Association,Form G,Depository Locations,6400 South Pulaski Road,,17031650301,POINT (-87.72308 41.7764)
2022,"BMO HARRIS BANK, N.A.",Form G,Depository Location,"8300 S. HOLLAND ROAD, SUITE E",,17031842400,POINT (-87.63208 41.74332)
2022,U.S. Bank,Form G,Depository Location,11960 S Western Ave,,8235.00,POINT (-87.68108 41.67577)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,4730 W 79th St,60652-2045,,POINT (-87.74024 41.74917)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,1849 W North Ave,60622-1514,,POINT (-87.67411 41.91053)
2022,Huntington,Form G,Depository Location,"1224 S Wabash Ave, Chicago, IL, 60605",,17031330102,POINT (-87.62581 41.86674)
2022,U.S. Bank,Form G,Depository Location,755 E Boughton Rd,,8801.17,POINT (-88.03858 41.7231)
2022,Fifth Third Bank N.A,Form G,Depository Location,1725 North Harlem Avenue,,17031250500,POINT (-87.80585 41.9115)
2021,"Fifth Third Bank, N.A.",Form G,Depository Locations,1209 North Milwaukee Avenue,,17031241600,POINT (-87.66685 41.90359)
2022,U.S. Bank,Form G,Depository Location,4001 S Harlem Ave,,8207.00,POINT (-87.80727 41.95283)
2022,PNC Bank,Form G,Depository Location,"3508 S STATE ST CHICAGO, IL 60609",,17031351500,POINT (-87.62705 41.83063)
2022,Citibank N.A.,Form G,Depository Location,222 W ADAMS ST,,17031839100,
2021,Citibank N.A.,Form G,Depository Locations,4887 N BROADWAY ST CHICAGO IL 60640,,312,POINT (-87.65974 41.97134)
2022,Huntington,Form G,Depository Location,"1220 S Ashland Ave, Chicago, IL, 60608",,17031842900,POINT (-87.66641 41.86643)
2022,Fifth Third Bank N.A,Form G,Depository Location,2785 North Clybourn Avenue,,17031070700,POINT (-87.67751 41.93178)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1225 S Ashland Ave,,170318429.00,POINT (-87.66641 41.86637)
2022,Huntington,Form G,Depository Location,"3531 N Broadway St, Chicago, IL, 60657",,17031061800,POINT (-87.64683 41.94665)
2021,"Bank of America, National Association",Form G,Depository Locations,"201 S State St., Chicago, IL 60604
2 S Michigan Ave., Chicago, IL 60603-3323",,17031320400,POINT (-87.62448 41.88188)
2022,U.S. Bank,Form G,Depository Location,808 N Route 59,,8465.09,POINT (-88.20593 41.76767)
2022,U.S. Bank,Form G,Depository Location,21 W 2nd St,,8453.00,
2022,Citibank N.A.,Form G,Depository Location,1751 W 47TH ST,,17031611300,POINT (-87.66938 41.80855)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,850 S Wabash Ave,,170313206.00,POINT (-87.6259 41.87117)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,923 W Washington Blvd,60607-2203,,POINT (-87.65063 41.8831)
2022,Bank of America,Form G,Depository Location,2163 N Clybourn Ave,,17031832500,POINT (-87.6629 41.92055)
2022,"JPMorgan Chase Bank, N.A.",Form G,Depository Location,1122 N Clark St,,170310810.00,POINT (-87.63142 41.90268)
2021,"JPMorgan Chase Bank, N.A.",Form G,Depository Locations,4145 W Peterson Ave,60646-6002,,POINT (-87.7331 41.99009)
2021,Associated Bank,Form G,Depository Locations,525 W Monroe St Chicago 60661,,2819,POINT (-87.64051 41.88057)
2021,"PNC Bank, National Association",Form G,Depository Locations,"1733 S CLARK ST CHICAGO, IL 60616",,17031330200,POINT (-87.62977 41.85803)
