"Address","Date.of.Acquisition","Latitude","Longitude"
"5759 S LAFAYETTE AVE","02/23/1998",41.7892297,-87.6263446
"11946 S UNION AVE","",41.6764836,-87.6398061
"8849 S EXCHANGE AVE","",NA,NA
"814 S KEELER AVE","01/20/1982",41.870438,-87.7303615
"1553 S SAWYER AVE","02/02/2012",41.8593452,-87.7063337
"11633 S  INDIANA                AVE","",41.6820308,-87.6175634
"340 W 110TH PL","12/09/2009",41.6936528,-87.6319738
"7114 S ST LAWRENCE AVE","03/26/2001",41.7652172,-87.6107599
"1839 W 63RD ST","",41.7790637,-87.6706569
"2341 W ERIE ST","",41.8927745,-87.6857036
"2749 W JACKSON BLVD","08/06/1980",41.8772115,-87.6956222
"1840 W 63RD ST","04/24/2001",41.7794726,-87.670683
"4447 W GLADYS AVE","08/12/1985",41.8757717,-87.7371334
"2002 S THROOP ST","03/15/1994",41.8549941,-87.6591068
"3038 W FIFTH AVE","08/06/1968",41.8795062,-87.7027044
"1620 S SAWYER AVE","02/05/1993",41.8583902,-87.7070084
"1142 N CHRISTIANA AVE","02/26/2014",41.9021664,-87.7109092
"104 W 112TH ST","04/29/2013",41.6909972,-87.6260489
"539 E 46TH ST","02/03/1975",41.8110122,-87.6122287
"342 W 110TH PL","12/09/2009",41.6936517,-87.6320655
"3353 W DOUGLAS BLVD","",41.8621225,-87.7100692
"1024 N RIDGEWAY AVE","",NA,NA
"5952 S LOOMIS ST","09/05/2006",41.7852566,-87.6596489
"1254 S SPRINGFIELD AVE","11/01/1991",41.8645044,-87.7230354
"836 N LAWNDALE AVE","",NA,NA
"5130 S WOOD ST","02/23/2016",41.8003513,-87.6699737
"7134 S ARTESIAN AVE","10/31/2016",41.7636302,-87.6847955
"506 N MONTICELLO AVE","12/20/2018",41.8902542,-87.717726
"1904 S SAWYER AVE","08/05/1986",41.8551369,-87.7069173
"2339 W WARREN BLVD","",41.8818321,-87.6855462
"2831 W 25TH PL","03/15/1995",41.8452969,-87.6964785
"11631 S  INDIANA                AVE","",41.6818092,-87.6175247
"8847 S EXCHANGE AVE","",NA,NA
"1957 S AVERS AVE","",41.8534001,-87.720709
"842 N CHRISTIANA AVE","06/27/2003",41.8967841,-87.710221
"4466 S WELLS ST","12/09/1996",41.8126625,-87.6326062
"7000 S HARPER AVE","10/07/1994",41.7676676,-87.5883764
"10202 S PARNELL AVE","03/12/1998",41.7086333,-87.6371597
"348 W 110TH PL","12/09/2009",41.6936037,-87.632357
"4406 W WILCOX ST","12/29/2005",41.8790034,-87.7358157
"3353 W 13TH ST","08/16/1972",41.864367,-87.7096149
"12138 S UNION AVE","12/24/2006",41.6730386,-87.6395056
"10119 S HOXIE AVE","09/18/2013",NA,NA
